Title,Body,Labels,Milestone,Assignees
"Register Prometheus metrics per SPEC §9.2","All operator metrics exposed on :8080/metrics.","area/metrics,kind/feature,priority/p0","M3 — Progressive Analysis",
"Ship ServiceMonitor in chart","Per values.observability.serviceMonitor.enabled.","area/chart,kind/feature","M3 — Progressive Analysis",
"Ship PrometheusRule with alerts §9.5","5 alerts.","area/chart,kind/feature","M3 — Progressive Analysis",
"Grafana dashboard JSON","docs/dashboards/kanary.json.","area/docs,kind/docs","M3 — Progressive Analysis",
"Stub --otel-exporter flag","No-op initially; for future.","area/controller,kind/chore,priority/p3","M5 — Blue/Green (future)",
"Unit tests ≥80% coverage","Gate in CI.","area/testing,kind/test,priority/p0","M1 — MVP Manual",
"Envtest suite manual happy path","Complete scenarios.","area/testing,kind/test,priority/p0","M1 — MVP Manual",
"Envtest suite progressive + analysis","Cover rollback paths.","area/testing,kind/test","M3 — Progressive Analysis",
"E2E kind manual + toggle","Scripted scenario.","area/testing,kind/test","M1 — MVP Manual",
"E2E EKS manual (workflow_dispatch)","Sandbox cluster.","area/testing,kind/test","M2 — Multi-provider",
"E2E AKS manual","Sandbox cluster.","area/testing,kind/test","M2 — Multi-provider",
"E2E Openshift manual","Sandbox cluster (CRC or ROSA).","area/testing,kind/test","M2 — Multi-provider",
"Benchmarks + CI regression gate","10% regression fails CI.","area/testing,area/perf,kind/test","M4 — Hardening & 1.0",
"Restricted pod security context","nonroot/readOnlyRootFilesystem/seccomp RuntimeDefault.","area/security,kind/chore,priority/p0","M4 — Hardening & 1.0",
"Minimal RBAC per scope","Role vs ClusterRole based on scope.","area/security,kind/chore,priority/p0","M1 — MVP Manual",
"SBOM + cosign signing in release","Supply-chain security.","area/security,kind/chore","M4 — Hardening & 1.0",
"govulncheck in CI","Fail PR on known vulns.","area/security,area/ci,kind/chore","M4 — Hardening & 1.0",
"Threat model doc","docs/security/threat-model.md.","area/security,area/docs,kind/docs","M4 — Hardening & 1.0",
"README with quickstart","Install + first canary in 5 minutes.","area/docs,kind/docs,priority/p0","M1 — MVP Manual",
"Design doc citing Go in Action chapters 7–11","docs/design.md.","area/docs,kind/docs","M2 — Multi-provider",
"API reference generated from types","crd-ref-docs integration.","area/docs,kind/docs","M3 — Progressive Analysis",
"Troubleshooting doc","docs/troubleshooting.md.","area/docs,kind/docs","M3 — Progressive Analysis",
"Upgrade guide with apiVersion policy","docs/upgrade-guide.md.","area/docs,kind/docs","M4 — Hardening & 1.0",
"MkDocs Material site on GH Pages","Static docs site.","area/docs,kind/docs,priority/p2","M4 — Hardening & 1.0",
"RFC: strategy.mode BlueGreen","Proposal document.","area/docs,kind/docs,priority/p2","M5 — Blue/Green (future)",
"Shadow traffic (mirror) step","Optional step type.","kind/feature,priority/p3","M5 — Blue/Green (future)",
"A/B testing header-based","Header-based routing.","kind/feature,priority/p3","M5 — Blue/Green (future)",
"Spike: StatefulSet target support","Design investigation.","kind/feature,priority/p3","M5 — Blue/Green (future)",
"Istio provider plugin","Traffic provider for Istio VirtualService.","area/traffic,kind/feature,priority/p3","M5 — Blue/Green (future)"
